BindingDB MonomerID,IC50 (nM),Ligand SMILES
wild_223562,290,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(C(=O)N2CCOCC2)c(Cl)c1
wild_223556,580,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(C(=O)N2CCOCC2)c(F)c1
wild_223570,670,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(CC(=O)N2CCOCC2)cc1
wild_223568,370,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(cc1)C(=O)N1CCOCC1
wild_223553,340,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(cc1)N1CCOCC1
wild_223554,340,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(CCN2CCOCC2)cc1
wild_223561,260,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(CN2CCOCC2)c(C)c1
wild_223563,320,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(CN2CCOCC2)c(Cl)c1
wild_223555,200,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(CN2CCOCC2)c(F)c1
wild_223552,160,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(CN2CCOCC2)cc1
wild_223559,1000,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(F)c(CN2CCOCC2)c1
wild_223549,540,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc2n(C)ccc2c1
wild_223550,620,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc2N(C)CCc2c1
wild_223565,650,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1cccc(c1)C(=O)N1CCOCC1
wild_223564,370,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1cccc(CN2CCOCC2)c1
wild_50507673,49,CC(C)n1cc(nn1)-c1n[nH]c2ccnc(NC3CCOCC3)c12
wild_223551,570,CC(C)n1cc(nn1)-c1nc(cnc1N)-c1ccc2N(C)CCc2c1
wild_634321,55,CC(C)N1CCCOc2ccc3[nH]nc(-c4cncc(COC1=O)c4)c3c2
wild_239537,61.5,CC(C)N1CCN(CC1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cccs1
wild_239541,2.34,CC(C)N1CCN(CC1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccn[nH]1
wild_239538,9.03,CC(C)N1CCN(CC1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccoc1
wild_239540,0.96,CC(C)N1CCN(CC1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cn[nH]c1
wild_239190,0.73,CC(C)N1CCN(CC1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cnn(C)c1
wild_620916,0.08,CC(C)n1ncc(Nc2ncc3cc(Cl)c(cc3n2)N2CCN(CC2)C2(C)COCC2O)c1C(F)F
wild_239343,5.1,CC(C)NC(=O)CN1CCN(CC1)c1cc(ncn1)-c1n[nH]c2ccc(OC(C)C)cc12
wild_282662,21600,CC(C)Nc1c(C)nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O
wild_282649,1600,CC(C)Nc1c(Cl)nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O
wild_50431910,37,CC(C)Nc1c(cnc2cc(ccc12)-c1ccc(cc1)S(=O)(=O)N(C)C)C#N
wild_50431911,12,CC(C)Nc1c(cnc2cc(ccc12)-c1ccc(cc1)S(=O)(=O)N1CCCC1)C#N
wild_50431913,14,CC(C)Nc1c(cnc2cc(ccc12)-c1ccc(cc1)S(=O)(=O)N1CCOCC1)C#N
wild_50431917,31,CC(C)Nc1c(cnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C#N
wild_50431896,66,CC(C)Nc1c(cnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C(C)=O
wild_50428719,35,CC(C)Nc1c(cnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C(N)=O
wild_50431894,91856,CC(C)Nc1c(cnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C1=NCCN1
wild_50431916,2020,CC(C)Nc1c(cnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)-c1cnn(C)c1
wild_50431895,1747,CC(C)Nc1c(cnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)-c1nccs1
wild_50431908,109,CC(C)Nc1c(cnc2cc(ccc12)-c1ccc(Cl)s1)C#N
wild_50431909,64,CC(C)Nc1c(cnc2cc(ccc12)-c1ccc(nc1)S(C)(=O)=O)C#N
wild_50431912,23,CC(C)Nc1c(cnc2cc(ccc12)-c1cnc(C)s1)C#N
wild_50431915,7,CC(C)Nc1c(cnc2cc(ccc12)-c1cnn(C)c1)C#N
wild_50431907,103,CC(C)Nc1c(cnc2ccccc12)C#N
wild_282645,950,CC(C)Nc1c(I)nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O
wild_50428692,3199,CC(C)Nc1c(nnc2c(C)c(ccc12)-c1ccncc1)C(N)=O
wild_282600,120,CC(C)Nc1c(nnc2cc(C=C)ccc12)C(N)=O
wild_282604,76,CC(C)Nc1c(nnc2cc(ccc12)C(C)=C)C(N)=O
wild_282661,13,CC(C)Nc1c(nnc2cc(ccc12)-c1c[nH]nn1)C(N)=O
wild_282589,9,CC(C)Nc1c(nnc2cc(ccc12)-c1ccc(cc1)N1CCOCC1)C(N)=O
wild_282671,990,CC(C)Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C#C
wild_282571,620,CC(C)Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C#N
wild_50428718,15,CC(C)Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C(N)=O
wild_282648,13000,CC(C)Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)-c1cccnc1
wild_282664,420,CC(C)Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)-c1nc[nH]n1
wild_282678,51,CC(C)Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)-c1ncc[nH]1
wild_282650,280,CC(C)Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)-c1nccc(=O)[nH]1
wild_282586,55,CC(C)Nc1c(nnc2cc(ccc12)-c1ccc(F)cc1)C(N)=O
wild_282590,17,CC(C)Nc1c(nnc2cc(ccc12)-c1cccc(c1)N1CCOCC1)C(N)=O
wild_282588,210,CC(C)Nc1c(nnc2cc(ccc12)-c1ccccc1F)C(N)=O
wild_282592,33,CC(C)Nc1c(nnc2cc(ccc12)-c1cccnc1)C(N)=O
wild_50428704,14,CC(C)Nc1c(nnc2cc(ccc12)-c1ccncc1)C(N)=O
wild_50428700,9,CC(C)Nc1c(nnc2cc(ccc12)-c1cn[nH]c1)C(N)=O
wild_282579,210,CC(C)Nc1c(nnc2cc(ccc12)-c1cncnc1)C(N)=O
wild_50428698,9,CC(C)Nc1c(nnc2cc(ccc12)-c1cnn(C)c1)C(N)=O
wild_50428695,14,CC(C)Nc1c(nnc2cc(ccc12)-c1cnsc1)C(N)=O
wild_282655,170,CC(C)Nc1c(nnc2cc(ccc12)N1CCCC1=O)C(N)=O
wild_282654,31,CC(C)Nc1c(nnc2cc(ccc12)-n1cccn1)C(N)=O
wild_50428697,53,CC(C)Nc1c(nnc2cc(ccc12)N1CCN(C)CC1)C(N)=O
wild_50428696,9,CC(C)Nc1c(nnc2cc(ccc12)N1CCOCC1)C(N)=O
wild_282663,940,CC(C)Nc1c(nnc2cc(CCO)ccc12)C(N)=O
wild_282653,72,CC(C)Nc1c(nnc2cc(Nc3ccccc3)ccc12)C(N)=O
wild_282651,490,CC(C)Nc1c(nnc2cc(Oc3ccccc3)ccc12)C(N)=O
wild_282652,560,CC(C)Nc1c(nnc2cc(Sc3ccccc3)ccc12)C(N)=O
wild_282630,2900,CC(C)Nc1c(nnc2ccc(cc12)-c1ccc(cc1)S(C)(=O)=O)C(N)=O
wild_282629,630,CC(C)Nc1c(nnc2ccc(cc12)-c1ccccc1)C(N)=O
wild_50428702,30,CC(C)Nc1c(nnc2ccc(cc12)-c1ccncc1)C(N)=O
wild_282633,120,CC(C)Nc1c(nnc2ccc(cc12)-c1cn[nH]c1)C#N
wild_50428701,1,CC(C)Nc1c(nnc2ccc(cc12)-c1cn[nH]c1)C(N)=O
wild_282636,110,CC(C)Nc1c(nnc2ccc(cc12)-c1cncs1)C(N)=O
wild_50428699,378,CC(C)Nc1c(nnc2ccc(cc12)-c1cnn(C)c1)C(N)=O
wild_282635,570,CC(C)Nc1c(nnc2ccc(cc12)-c1nccs1)C(N)=O
wild_282659,1300,CC(C)Nc1c(nnc2ccc(cc12)N1CCOCC1)C(N)=O
wild_620765,15,CC(C)Nc1cc2nc(Nc3cnn(C4CCN(CC4)C4(C)COC4)c3Cl)ncc2cc1Cl
wild_620788,9.16,CC(C)Nc1ccc2cnc(Nc3cnn(c3)C3CCN(CC3)C3(C)COC3)nc2c1
wild_620772,6.88,CC(C)Nc1ccc2cnc(Nc3cnn(C4CCN(CC4)C4(C)COC4)c3Cl)nc2c1Cl
wild_678010,646,CC(C)Nc1nc(cs1)C(=O)Nc1cnn(c1)C1CCC1
wild_50507986,880,CC(C)Nc1nccc2[nH]nc(C)c12
wild_50539935,160,CC(C)Oc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)N1CCC(O)CC1
wild_239444,5.4,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1[C@@H](C)COC[C@H]1C
wild_239443,62.1,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1[C@H](C)COC[C@H]1C
wild_239256,1.33,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1C[C@H](C)N(C)[C@H](C)C1
wild_239088,2.89,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1C[C@H](C)O[C@H](C)C1
wild_239220,4.78,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1C[C@H](F)[C@@H](F)C1
wild_239244,7.6,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1C[C@H](N)C[C@@H]1C
wild_239245,11.7,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1C[C@H](O)[C@@H](N)[C@@H]1C
wild_239241,15.5,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1C[C@H](O)[C@@H](O)[C@@H]1C
wild_239437,7.9,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1C[C@H](O)[C@H](C1)N(C)C
wild_239430,18.2,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1C2CCC1COC2
wild_239441,7,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CC[C@@H](C1)N(C)C
wild_239426,2.9,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CC[C@@H](CO)C1
wild_239242,7.3,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CC[C@@H](N)C1
wild_239425,10.2,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CC[C@H](CO)C1
wild_239243,10.4,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CC[C@H](N)C1
wild_239231,14.58,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CC2CCC(C1)O2
wild_239432,6.1,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCC(C1)n1cccn1
wild_239435,17.7,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCC(F)(CC1)C#N
wild_239439,2.3,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCC(F)(CO)CC1
wild_239427,6.1,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCC(F)(F)C1
wild_239433,6.4,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCc2oc(C)nc2C1
wild_239429,9.8,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCc2oncc2C1
wild_239253,3.09,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(C(C)C)C(=O)C1
wild_239234,1.2,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(C)[C@@H](C)C1
wild_239235,1.3,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(C)[C@H](C)C1
wild_239254,2.19,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(C)C(=O)C1
wild_239211,4.35,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(C)CC1
wild_239249,2.98,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(CC1)C(=O)C1CC1
wild_239229,3.99,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(CC1)C1CC1
wild_239423,2.5,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(CC1)C1CCS(=O)(=O)C1
wild_239240,2.19,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(CC1)c1cnn(C)c1
wild_239247,4.17,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(CC1)S(=O)(=O)C1CC1
wild_239086,3.09,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(CC1)S(C)(=O)=O
wild_239442,3.1,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(CCCO)CC1
wild_239246,1.65,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCN(CCO)CC1
wild_239424,176,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCn2nc(nc2C1C)C(F)(F)F
wild_239420,7.1,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCn2ncnc2C1
wild_239222,2.89,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCNC(=O)C1
wild_239223,5.01,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCO[C@@H](C)C1
wild_239224,2.87,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCO[C@H](C)C1
wild_239434,6.2,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCOC(C)(C)C1
wild_239422,26.6,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCOC(C1)C(F)(F)F
wild_239212,2.39,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCOCC1
wild_239225,5.54,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCOCC1C
wild_239438,24,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCS(=O)(=O)CC1
wild_239428,6.1,CC(C)Oc1cc2c(n[nH]c2cc1F)-c1cc(ncn1)N1CCS(=O)CC1
wild_568891,550,CC(C)Oc1ccc(cn1)-c1n[nH]c2ccc(NC(=O)c3ncc(cc3C)C#N)cc12
wild_593300,300,CC(C)OC1CCC(COc2nc(Nc3ccc(cc3)N3C[C@H](C)O[C@H](C)C3)ncc2F)CC1
wild_593299,125,CC(C)OC1CCC(COc2nc(Nc3ccc(cc3)N3CCOCC3)ncc2F)CC1
wild_593301,125,CC(C)OC1CCC(COc2nc(Nc3cn(nc3C)C(C)(C)C#N)ncc2F)CC1
wild_239238,5.94,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3C[C@@H]4C[C@H]3CO4)c2c1
wild_239322,7.8,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3C[C@H](C)O[C@H](C)C3)c2c1
wild_239325,11.1,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3C[C@H](F)[C@@H](F)C3)c2c1
wild_239236,11.1,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3C[C@H](N)C[C@@H]3C)c2c1
wild_239239,14.4,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3C[C@H](O)[C@@H](N)[C@@H]3C)c2c1
wild_239226,18.13,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3C[C@H](O)[C@@H](O)[C@@H]3C)c2c1
wild_239323,15.3,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3C[C@H](O)[C@H](C3)N(C)C)c2c1
wild_239337,9.3,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CC(C3)c3nc(C)no3)c2c1
wild_239327,22.6,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CC(C3)n3cccn3)c2c1
wild_239338,20.1,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CC(C3)n3cnnc3)c2c1
wild_239331,13.3,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CC(C3)S(C)(=O)=O)c2c1
wild_239333,24.3,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CC(F)(F)C3)c2c1
wild_239340,8.7,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CC[C@@H](F)C3)c2c1
wild_239227,8.78,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CC[C@@H](N)C3)c2c1
wild_239341,9.5,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CC[C@H](F)C3)c2c1
wild_239228,6.68,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CC[C@H](N)C3)c2c1
wild_239197,29.2,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CC4CCC(C3)O4)c2c1
wild_239352,11.3,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC(C3)n3ccnc3)c2c1
wild_239350,7.2,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC(CC3)C#N)c2c1
wild_239359,5.4,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC(CC3)C(C)(C)O)c2c1
wild_239232,4.45,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC(CC3)C(O)=O)c2c1
wild_239355,15.3,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC(CC3)n3cccn3)c2c1
wild_239356,6.9,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC(CF)C3)c2c1
wild_239361,6.3,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC(F)(CO)CC3)c2c1
wild_239195,14.8,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC(F)(F)CC3)c2c1
wild_239353,10.5,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC(O)(CC3)C(F)(F)F)c2c1
wild_239317,5.9,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC(O)CC3)c2c1
wild_239320,7.9,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC3)c2c1
wild_239233,4.13,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC4(CCCO4)CC3)c2c1
wild_239087,2.31,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCC4(CCNC4=O)CC3)c2c1
wild_239335,43,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCc4nc(oc4C3)C3CC3)c2c1
wild_239329,30.1,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCc4oc(nc4C3)C3CC3)c2c1
wild_239354,6.9,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCCC(C3)C(C)(C)O)c2c1
wild_239321,13.9,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCCC3)c2c1
wild_239319,10.6,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCCCC3)c2c1
wild_239326,51.3,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCCN(CC3)S(C)(=O)=O)c2c1
wild_239215,5.28,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(C(C)C)C(=O)C3)c2c1
wild_239198,11.2,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(C)C(=O)C3)c2c1
wild_239332,5.4,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(C)CC3)c2c1
wild_239209,4.15,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)C(=O)C3CC3)c2c1
wild_239344,8.7,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)C(=O)c3ccco3)c2c1
wild_239348,58.1,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)C(=O)C3CCCO3)c2c1
wild_239347,11.2,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)C(C)=O)c2c1
wild_239204,7.68,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)C(C)C)c2c1
wild_239199,8.28,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)C3CC3)c2c1
wild_239339,15.8,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)c3ccncn3)c2c1
wild_239358,5.4,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)c3cnn(C)c3)c2c1
wild_239349,11.8,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)c3ncccn3)c2c1
wild_239336,14,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)c3nnc(o3)C3CC3)c2c1
wild_239362,17,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)c3nncs3)c2c1
wild_239210,5.51,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)S(=O)(=O)C3CC3)c2c1
wild_239196,7.99,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)S(C)(=O)=O)c2c1
wild_239357,8.2,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(Cc4ccncc4)CC3)c2c1
wild_239218,3.3,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CCF)C(=O)C3)c2c1
wild_239085,5.5,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CCF)CC3)c2c1
wild_239318,7.4,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CCO)CC3)c2c1
wild_239360,18.2,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCn4nc(nc4C3)C3CC3)c2c1
wild_239205,12.38,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCNCC3)c2c1
wild_239207,21.44,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCO[C@@H](C)C3)c2c1
wild_239083,5.09,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCO[C@H](C)C3)c2c1
wild_239193,6.37,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCOC(C)(C)C3)c2c1
wild_239200,4.04,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCOC4(CC4)C3)c2c1
wild_239084,5.95,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCOCC3)c2c1
wild_239201,9.82,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCOCC3C)c2c1
wild_239194,11.5,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCS(=O)CC3)c2c1
wild_239213,6.08,CC(C)Oc1ccc2[nH]nc(-c3cc(ncn3)N3CCSC=C3)c2c1
wild_50437051,4,CC(C)Oc1ccc2NC(=O)\C(=C/c3cc4CN(CCc4[nH]3)C(C)=O)c2c1
wild_653909,1950,CC(C)Oc1ccc2nc(NC(=O)c3ccc(cc3)N3CCOCC3)sc2c1
wild_678013,79.4,CC(C)Oc1cccc(n1)C(=O)Nc1cnn(c1)C1CCC1
wild_568962,550,CC(C)Oc1cncc(c1)-c1n[nH]c2ccc(NC(=O)c3ncc(cc3C)C#N)cc12
wild_50507962,68,CC(C)Oc1nccc2[nH]nc(C)c12
wild_677968,37.2,CC(C)Oc1nn(C)cc1NC(=O)c1csc(n1)-c1cn[nH]c1
wild_577598,79,CC(C)Oc1nn(C)cc1Nc1ncc2cc(C#N)n([C@@H]3CO[C@H]3C)c2n1
wild_577597,34,CC(C)Oc1nn(C)cc1Nc1ncc2cc(C#N)n([C@H]3CO[C@@H]3C)c2n1
wild_577578,36,CC(C)Oc1nn(C)cc1Nc1ncc2cc(C#N)n([C@H]3COC[C@H]3C)c2n1
wild_577594,20,CC(C)Oc1nn(C)cc1Nc1ncc2cc(C#N)n(C3COC3)c2n1
wild_577580,274,CC(C)Oc1nn(cc1Nc1ncc2cc(C#N)n([C@@H]3COC[C@@H]3C)c2n1)[C@@H](C)C#N
wild_577579,256,CC(C)Oc1nn(cc1Nc1ncc2cc(C#N)n([C@@H]3COC[C@@H]3C)c2n1)[C@H](C)C#N
wild_577582,5,CC(C)Oc1nn(cc1Nc1ncc2cc(C#N)n([C@H]3COC[C@H]3C)c2n1)[C@@H](C)C#N
wild_577581,7,CC(C)Oc1nn(cc1Nc1ncc2cc(C#N)n([C@H]3COC[C@H]3C)c2n1)[C@H](C)C#N
wild_577593,11,CC(C)Oc1nn(cc1Nc1ncc2cc(C#N)n(C3COC3)c2n1)C(C)(C)C#N
wild_678001,102,CC(C1CC1)n1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)c(C)n1
wild_678003,53.7,CC(C1CC1)n1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)c(n1)C(F)F
wild_678006,1202,CC(C1CC1)n1ncc(NC(=O)c2csc(n2)-c2cn[nH]c2)c1C(F)F
wild_551381,25.8,CC(Cc1nc2cnc3ccc(Cl)cc3c2n1[C@@H]1CCO[C@H](C)C1)C#N
wild_50583991,7140,CC(CO)CN(C)c1ncnc2[nH]cc(-c3cccc(Cl)c3)c12
wild_577559,5,CC(CO)n1cc(Nc2ncc3cc(C#N)n([C@H]4COC[C@@H]4C)c3n2)c(OC2COC2)n1
wild_593138,300,CC(N[C@H]1CC[C@H](COc2nc(Nc3ccc(cc3)N3CCOCC3)ncc2F)CC1)C(F)(F)F
wild_50094873,1900,CC(N1CCOCC1)c1ccc(NC(=O)c2cc([nH]n2)C2CC2)cc1
wild_282640,1060,CC(Nc1c(nnc2cc(ccc12)-c1ccncc1)C(N)=O)c1cccnc1
wild_50541598,95,CC(O)(C#Cc1ccc(N2CCOCC2)c(Nc2ncnc3[nH]ccc23)c1)c1nccs1
wild_239396,2.3,CC(O)C1CCN(C1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cnn(C)c1
wild_50269792,40,CC(Oc1ccc(Br)cc1C(=O)Nc1cccnc1)c1ccccc1
wild_50432030,1662,CC(Sc1ccc2nnc(-c3cccc(Cl)c3)n2n1)c1ccn[nH]1
wild_50432037,98,CC(Sc1ccc2nnc(-c3cccs3)n2n1)C(N)=O
wild_50432031,384,CC(Sc1ccc2nnc(-c3cccs3)n2n1)c1nnco1
wild_282582,550,CC[C@@H](C)Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C#N
